intervalo,estimativa,resposavel,subtarefas,atrasado
0,0,0,0,1
0,0,9,0,1
0,0,21,0,1
0,0,21,0,1
0,0,10,0,1
0,0,10,0,0
0,0,15,0,0
0,0,15,0,0
0,0,83,0,1
0,0,10,0,0
0,0,81,0,0
0,0,10,0,0
0,0,81,0,0
0,0,76,0,0
0,0,86,0,1
0,0,0,0,0
0,0,17,0,0
0,0,0,0,1
0,0,81,0,1
0,0,86,0,1
0,0,86,0,0
0,0,15,0,1
0,0,81,0,1
0,0,10,0,0
0,0,81,0,1
0,0,10,0,0
0,0,0,0,1
0,0,10,0,1
0,0,10,0,1
0,0,0,0,1
0,0,0,0,1
0,0,74,2,1
0,0,86,0,0
325,16,108,0,0
316,4,109,0,0
50,0,0,0,0
7,0,81,0,1
74,0,0,0,1
289,8,10,0,0
79,0,10,0,1
15,0,81,0,1
161,0,109,0,0
1,0,0,0,1
0,0,106,9,1
1,16,0,0,1
1,16,0,0,1
4,20,0,0,1
5,1,81,1,1
148,40,81,0,0
45,153,0,0,1
28,153,103,0,1
114,1,109,0,0
100,5,81,0,0
84,3,108,0,0
151,5,109,0,0
25,16,81,0,0
0,0,0,0,1
0,0,21,0,1
0,0,9,0,1
22,4,0,0,1
36,8,0,0,1
36,12,106,0,1
0,0,0,0,1
0,0,9,0,1
28,0,0,0,1
63,1,109,0,0
77,3,108,0,0
14,2,10,0,0
77,12,109,0,0
46,16,81,0,0
2,0,0,0,1
10,24,81,0,1
73,24,81,0,0
18,0,81,0,1
18,20,10,0,1
18,12,10,0,0
17,32,81,0,1
43,0,10,0,0
8,4,10,0,0
14,34,0,8,1
14,26,0,3,1
15,2,81,0,0
15,2,81,0,0
15,2,81,0,0
15,5,10,0,0
15,2,81,0,0
14,2,81,0,0
25,4,0,0,0
11,0,10,0,0
11,0,81,0,0
10,0,81,0,0
23,0,81,0,1
21,1,109,0,0
21,3,81,0,0
4,0,10,0,0
18,3,10,0,0
30,8,10,0,0
2,0,10,0,0
2,0,81,0,0
16,5,10,0,0
1,0,81,0,0
1,0,81,0,0
1,0,81,0,0
1,0,81,0,0
0,0,81,0,0
0,0,81,0,0
0,0,81,0,0
11,16,10,0,0
11,5,81,0,0
11,5,81,0,0
11,0,10,0,0
11,16,10,0,0
11,0,81,0,0
9,0,10,0,0
9,0,10,0,0
8,0,81,0,0
7,0,10,0,0
490,5,10,0,0
18,0,10,0,0
3,0,81,0,0
2,0,10,0,0
2,0,81,0,0
2,0,0,0,1
0,0,0,0,1
1,0,81,0,0
1,0,81,0,0
0,0,0,0,0
0,0,10,0,1
0,0,10,0,1
0,0,54,0,0
0,0,21,0,1
0,0,21,0,0
0,0,10,0,1
0,0,83,0,0
0,0,81,0,0
0,0,81,0,0
0,0,10,0,0
0,0,76,0,0
0,0,81,0,0
0,0,81,0,1
0,0,10,0,1
0,0,74,0,1
0,0,86,0,0
0,0,10,0,1
0,0,76,0,1
0,0,10,0,1
0,0,86,0,1
0,0,81,0,1
0,0,15,0,1
0,1,86,0,1
0,0,81,0,1
0,0,81,0,1
0,0,0,0,1
0,0,81,0,1
1,16,0,0,1
0,0,10,0,1
0,1,0,0,1
81,0,0,0,0
65,0,92,0,0
65,0,10,0,0
65,0,10,0,0
65,0,10,0,0
42,0,81,0,1
95,52,81,0,1
101,0,0,0,1
148,5,109,0,0
142,1,109,0,0
114,0,108,0,0
1,10,81,0,0
30,3,10,0,0
25,4,81,0,0
25,16,10,0,1
74,16,10,0,0
24,20,10,0,0
0,0,9,0,1
0,0,21,0,1
0,0,21,0,1
0,0,9,0,1
0,0,21,0,1
0,0,9,0,1
36,12,0,0,1
36,10,0,0,1
0,16,0,0,1
36,8,0,0,1
2,0,98,0,0
36,3,81,0,1
3,0,0,0,1
35,0,10,0,1
7,0,86,3,1
10,24,81,0,1
31,13,10,0,1
31,16,10,0,1
45,8,10,0,0
31,2,10,0,0
31,17,81,0,1
43,2,81,0,0
21,39,106,0,1
18,19,10,0,1
18,4,81,0,1
17,2,10,0,1
17,0,86,0,1
8,2,10,0,0
36,8,10,0,1
6,0,0,0,1
15,8,10,0,0
15,4,10,0,0
15,5,81,0,0
15,4,81,0,0
15,4,81,0,0
1,0,10,0,0
15,4,81,0,0
11,13,10,0,0
11,16,10,0,0
25,4,81,0,0
11,4,0,0,0
11,16,0,0,0
11,0,10,0,0
9,0,10,0,0
8,0,10,0,0
0,0,0,0,1
4,0,81,0,0
59,0,108,0,1
2,0,10,0,0
2,0,10,0,0
2,0,10,0,0
1,0,10,0,0
1,0,81,0,0
1,0,10,0,0
11,5,81,0,0
11,16,0,0,1
11,5,81,0,0
11,8,81,0,0
11,3,10,0,0
10,0,81,0,0
37,24,109,0,1
22,8,10,0,0
22,5,109,0,0
7,0,10,0,0
21,3,109,0,0
4,0,10,0,0
3,0,81,0,0
2,0,81,0,0
2,0,81,0,0
2,0,81,0,0
2,0,81,0,0
1,0,81,0,0
11,16,0,0,0
11,0,109,0,0
4,0,111,0,0
10,0,10,0,0
10,0,108,0,0
10,0,10,0,0
9,0,81,0,0
22,5,108,0,0
14,8,10,0,0
11,5,81,0,0
11,0,10,0,0
11,5,10,0,0
25,5,108,0,0
0,0,99,0,1
10,0,108,0,0
7,3,109,0,0
7,8,108,0,0
2,0,10,0,0
2,0,108,0,0
86,5,81,0,0
2,0,109,0,0
2,0,108,0,0
1,0,109,0,0
1,0,10,0,0
15,8,10,0,1
11,5,10,0,0
11,5,109,0,0
11,16,81,0,0
10,16,0,0,0
9,0,10,0,0
9,0,108,0,0
9,0,108,0,0
9,0,109,0,0
4,0,81,0,0
4,0,108,0,0
4,0,10,0,0
28,16,81,0,1
14,3,0,0,1
11,1,10,0,1
193,0,17,0,1
11,8,109,0,1
3,0,10,0,1
14,3,10,0,0
11,2,108,0,0
11,2,109,0,0
25,16,10,0,0
11,16,10,0,1
10,2,108,0,0
10,2,109,0,0
9,3,109,0,0
9,16,0,0,1
9,2,109,0,0
9,5,108,0,0
9,0,108,0,0
4,0,108,0,0
4,0,81,0,1
4,0,0,0,0
0,0,109,0,1
11,5,10,0,0
11,8,81,0,1
11,24,108,0,1
11,24,109,0,1
39,3,108,0,1
11,16,109,0,0
10,0,10,0,0
9,0,81,0,1
7,0,81,0,0
2,0,109,0,0
0,0,81,0,0
0,0,81,0,0
0,0,10,0,1
11,2,81,0,0
11,5,109,0,1
11,0,0,0,0
11,0,0,0,0
11,5,81,0,0
11,8,10,0,1
11,16,108,0,0
25,16,10,0,1
11,5,81,0,1
10,0,108,0,0
10,0,108,0,0
10,0,10,0,0
10,0,10,0,0
10,0,108,0,0
9,0,10,0,0
9,0,10,0,0
8,0,108,0,0
3,5,108,0,1
3,5,108,0,1
17,8,108,0,1
0,0,81,0,0
11,3,81,0,1
11,24,109,0,1
11,5,81,0,1
11,0,81,0,0
11,0,108,0,0
10,0,81,0,0
20,2,112,0,0
1,6,0,0,1
8,0,10,0,1
7,0,81,0,1
7,0,81,0,1
1,16,109,0,1
14,3,108,0,0
10,5,109,0,0
10,24,108,0,1
10,0,108,0,0
10,0,108,0,0
10,0,108,0,0
10,0,108,0,0
9,0,81,0,0
9,0,10,0,0
9,0,81,0,0
9,16,81,0,0
9,16,81,0,0
9,8,109,0,0
9,24,108,0,0
9,0,108,0,0
9,0,10,0,0
9,0,81,0,0
0,3,0,0,1
4,0,10,0,0
3,0,108,0,0
3,0,108,0,0
3,0,108,0,0
3,0,108,0,0
3,0,81,0,0
0,3,0,0,1
2,0,108,0,0
1,3,10,0,0
11,3,10,0,0
11,5,109,0,0
11,8,10,0,1
11,24,10,0,0
10,0,81,0,0
9,0,81,0,0
8,0,10,0,0
4,0,109,0,0
2,0,109,0,1
2,0,109,0,1
2,0,10,0,1
16,3,10,0,0
11,8,0,0,1
11,3,109,0,0
11,16,10,0,1
11,5,109,0,0
11,3,109,0,0
11,24,108,0,0
2,0,10,0,1
2,0,10,0,1
7,0,109,0,0
7,0,109,0,0
4,0,109,0,0
4,0,109,0,0
0,8,117,0,1
16,5,109,0,1
15,16,0,0,1
1,0,108,0,0
14,3,0,0,1
14,5,10,0,1
14,2,109,0,1
14,3,108,0,1
14,2,108,0,1
11,16,10,0,0
11,16,109,0,1
11,24,108,0,1
11,2,109,0,0
11,8,10,0,1
4,16,109,0,1
0,3,10,0,1
11,24,109,0,1
11,24,109,0,1
25,16,108,0,1
11,3,10,0,1
11,5,10,3,1
11,2,10,0,1
11,3,109,0,1
11,0,10,0,0
11,0,108,0,0
11,0,109,0,0
11,0,118,0,1
10,0,10,0,1
23,16,0,0,1
9,0,109,0,1
9,0,109,0,1
23,3,108,0,0
23,5,108,0,0
23,5,10,0,0
23,3,10,0,0
22,5,108,0,0
22,8,108,0,1
22,3,109,0,0
22,2,109,0,0
22,2,109,0,0
0,16,81,0,1
2,0,10,0,1
16,5,10,0,0
16,2,10,0,0
11,8,108,0,0
11,2,10,0,0
11,5,10,0,0
25,2,120,0,1
11,0,108,0,0
11,0,109,0,0
11,0,118,0,1
11,2,10,0,0
11,2,108,0,0
25,2,120,0,1
10,0,10,0,0
19,0,101,0,1
17,16,0,0,1
17,3,120,0,1
17,3,120,0,1
17,2,120,0,1
17,3,10,0,1
17,2,120,0,1
2,0,10,0,0
2,0,120,0,1
6,16,15,0,1
14,3,120,0,1
28,2,120,0,1
11,0,118,0,1
11,2,120,0,1
11,5,108,0,1
11,16,108,0,1
11,2,10,0,1
4,0,118,0,0
4,0,118,0,0
4,0,118,0,0
3,0,120,0,1
0,0,120,0,1
44,5,118,0,1
1,0,10,0,1
1,0,10,0,1
1,0,120,0,1
1,0,10,0,1
11,0,118,0,0
11,16,120,0,0
11,8,108,0,1
11,8,120,0,1
11,8,10,0,0
11,0,10,0,0
11,0,108,0,0
11,5,10,2,0
11,0,118,5,1
10,0,10,0,0
10,0,108,0,0
10,0,10,0,0
10,0,120,0,0
10,0,120,0,0
9,0,10,0,0
4,0,10,0,0
4,0,10,0,0
4,0,120,0,0
4,0,10,0,0
4,0,10,0,0
4,0,10,0,0
2,0,108,0,0
30,8,120,0,1
16,3,0,0,1
14,16,0,0,1
3,0,81,0,0
3,0,81,0,0
3,0,81,0,0
2,0,81,0,0
2,0,108,0,0
2,0,81,0,0
2,0,108,0,0
2,0,109,0,0
2,0,10,0,0
2,0,108,0,0
11,5,10,0,0
11,5,81,0,0
39,8,92,0,0
10,0,0,0,0
9,0,108,0,0
9,0,109,0,0
9,0,109,0,0
9,0,108,0,0
14,0,106,12,1
8,40,109,0,1
35,0,81,0,1
3,0,81,1,0
0,0,108,0,0
0,0,0,0,0
28,24,108,0,1
11,2,109,0,1
11,16,109,0,1
38,5,81,0,1
1,0,108,0,1
11,2,109,0,0
4,2,109,0,0
4,2,109,0,0
11,16,10,0,0
11,0,109,0,0
11,0,108,0,0
11,0,10,0,0
11,2,108,0,0
10,2,108,0,0
10,2,109,0,0
10,3,108,0,0
10,2,10,0,0
10,2,108,0,0
10,3,109,0,0
10,5,109,0,0
9,2,108,0,0
7,0,10,0,0
7,2,108,0,0
4,0,0,0,0
17,8,81,0,0
31,0,109,0,0
3,0,108,0,1
11,3,108,0,1
11,2,108,0,1
11,3,109,0,0
11,16,0,0,0
8,0,10,0,0
7,0,10,0,0
3,0,81,0,0
0,0,81,0,0
0,0,81,0,0
0,0,81,0,0
11,16,109,0,1
11,8,109,0,1
11,5,109,0,1
11,8,109,0,1
11,0,0,0,0
11,0,0,0,0
11,16,81,0,0
25,3,0,0,1
11,5,109,0,1
11,3,81,0,0
11,5,81,0,1
10,0,108,0,0
10,0,81,0,0
10,0,108,0,0
10,0,108,0,0
10,0,108,0,0
10,0,10,0,0
10,0,0,0,0
10,0,108,0,0
10,24,0,0,1
3,5,108,0,1
17,8,108,0,1
3,16,109,0,0
15,3,10,0,0
29,3,10,0,0
11,24,10,0,1
11,16,81,0,0
11,3,81,0,1
11,16,109,0,1
11,0,10,0,0
11,0,10,0,0
11,16,0,0,1
8,0,81,0,0
7,0,0,0,0
7,0,109,0,1
3,0,108,0,1
3,0,108,0,1
0,0,0,0,1
1,8,81,0,1
0,8,108,0,1
14,24,109,0,1
10,16,10,0,0
10,0,108,0,0
10,0,108,0,0
10,0,108,0,0
9,0,81,0,0
9,2,109,0,0
9,5,10,0,0
9,0,109,0,0
9,0,0,0,0
9,16,0,0,0
0,6,0,0,1
7,0,81,0,0
4,0,81,0,0
4,0,10,0,0
3,0,108,0,0
3,0,10,0,0
3,0,0,0,0
2,0,108,0,0
0,8,10,0,1
0,4,0,0,1
11,16,0,0,1
11,8,0,0,1
11,16,108,0,1
11,16,108,0,0
8,24,109,0,0
14,8,0,0,1
20,4,112,0,0
11,3,10,3,1
11,16,108,0,1
11,0,108,0,0
11,0,118,8,1
11,2,108,0,0
11,8,120,0,1
10,0,10,0,0
10,0,10,0,0
8,0,120,0,1
22,8,10,0,1
3,0,10,0,1
16,2,118,0,1
29,2,21,0,0
15,16,0,0,0
15,8,0,0,0
15,3,120,0,1
11,8,108,0,1
11,2,0,0,0
25,3,108,0,1
11,5,120,0,1
52,0,0,0,1
52,8,120,0,1
9,0,10,0,0
9,0,10,0,0
9,0,10,0,0
8,0,10,0,0
8,0,10,0,0
8,16,108,0,1
4,0,108,0,1
4,0,0,0,1
1,0,81,0,0
0,0,118,0,1
14,8,21,0,0
20,4,112,0,0
39,8,108,2,1
39,5,108,0,1
10,0,21,0,0
8,3,10,0,1
7,0,118,0,1
16,8,0,0,0
16,2,118,0,1
2,0,118,0,1
1,0,118,0,1
15,2,108,0,0
15,2,108,0,1
15,2,108,0,0
0,0,120,0,1
0,0,10,0,0
11,3,21,0,0
11,3,108,0,1
11,0,10,0,0
9,0,118,0,0
9,0,118,0,0
9,0,118,0,1
9,0,108,0,1
13,0,0,0,0
9,0,21,0,1
8,0,108,0,0
22,16,0,0,1
7,0,120,0,1
7,0,120,0,1
7,0,120,0,1
7,0,120,0,1
4,0,118,0,1
4,0,108,0,1
1,0,120,0,1
11,5,10,0,1
11,8,120,0,1
25,5,108,0,1
8,3,21,0,0
8,0,10,0,0
7,0,108,0,0
4,0,108,0,0
4,0,10,0,0
1,0,4,0,1
1,0,4,0,1
3,0,120,0,0
3,0,120,0,0
16,8,0,0,1
2,0,120,0,0
6,0,0,0,1
2,0,108,0,0
1,0,108,4,1
1,0,108,5,1
1,0,108,0,0
1,0,118,4,1
11,8,120,0,1
11,3,108,0,1
11,5,118,8,1
11,16,118,4,1
11,8,118,0,1
11,16,10,0,1
11,16,10,0,1
11,16,120,0,1
25,8,120,1,1
25,16,108,0,1
25,5,120,1,1
46,16,108,0,1
46,24,108,4,1
0,0,0,0,0
22,0,0,0,0
7,0,10,0,0
67,5,10,0,1
53,24,10,0,1
67,5,10,0,1
39,24,118,0,0
67,16,120,0,1
39,5,118,0,1
95,8,10,0,1
109,5,10,2,1
39,16,120,1,1
95,16,118,4,1
67,16,118,1,1
109,16,118,15,1
137,16,10,0,1
67,5,120,0,1
95,5,118,0,1
67,8,118,0,1
35,8,0,0,1
16,0,4,0,1
11,8,10,0,1
8,0,10,0,1
21,1,15,0,1
7,0,10,0,1
7,0,21,0,1
4,2,118,0,1
3,0,10,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
17,2,116,0,1
26,0,111,0,1
18,16,10,0,1
18,3,108,2,1
32,16,0,0,1
32,16,0,0,1
18,8,108,0,1
18,16,10,0,1
18,16,10,0,1
17,0,10,0,0
17,0,10,0,0
9,0,116,0,1
16,0,120,0,1
16,0,120,0,1
16,16,120,0,1
15,0,10,0,1
19,0,109,0,1
8,0,109,0,1
8,0,15,0,1
34,0,111,0,0
22,0,4,0,0
21,0,111,0,0
21,0,101,0,1
10,16,109,0,1
9,8,15,0,1
10,8,15,0,1
10,2,15,0,1
21,0,15,0,1
3,0,15,0,1
2,0,117,0,0
2,0,111,0,0
165,0,4,0,1
2,0,116,0,1
12,0,15,0,1
8,0,10,0,1
8,0,10,0,0
0,0,116,0,1
0,0,111,0,1
0,0,116,0,1
0,0,0,0,1
0,0,116,0,1
0,0,15,0,1
0,0,15,0,1
1,0,0,0,0
0,0,116,0,1
0,0,116,0,1
0,0,109,0,1
0,0,116,0,1
53,3,120,0,0
0,0,116,2,1
25,16,0,0,0
25,8,0,0,0
3,0,0,0,1
0,0,112,0,1
20,4,112,0,0
0,4,0,0,1
0,0,0,0,1
5,0,4,0,1
5,0,4,0,1
0,0,111,0,1
0,0,15,0,1
10,0,10,0,0
0,0,116,0,1
0,0,116,0,1
0,0,116,0,1
10,0,108,0,1
0,0,116,0,1
0,0,116,0,1
0,0,116,0,1
0,0,116,0,1
0,0,21,0,1
0,0,0,0,1
0,0,101,0,1
23,0,10,0,1
0,0,109,0,1
0,0,116,0,1
0,0,101,0,1
0,0,15,0,1
0,0,15,0,1
0,0,15,0,1
0,0,15,0,1
0,0,15,0,1
0,0,109,0,1
0,0,116,0,1
228,16,15,2,0
0,0,111,0,1
0,0,116,0,1
0,0,116,0,1
0,0,98,0,1
0,0,109,0,1
0,0,116,0,1
0,0,109,0,1
0,0,109,0,1
0,0,109,0,1
2,0,108,0,1
0,0,109,0,1
0,0,109,0,1
225,5,120,1,0
0,0,109,0,1
0,0,109,0,1
15,2,10,0,0
0,0,111,0,0
0,0,116,0,1
14,0,21,0,1
0,0,116,0,1
0,0,116,0,1
0,0,15,0,1
14,2,10,0,1
0,0,116,0,1
0,0,116,0,1
25,16,0,0,0
25,8,0,0,0
11,16,120,0,1
11,8,108,0,1
11,16,10,0,1
11,8,118,0,1
0,0,116,0,1
0,0,15,0,1
0,0,116,0,1
10,0,10,0,0
0,0,101,0,1
0,0,101,0,1
0,0,101,0,1
10,0,21,0,0
0,0,98,0,1
0,0,111,0,0
9,0,10,0,0
0,0,15,0,1
0,0,116,0,1
8,0,10,0,0
0,0,116,0,1
0,0,116,0,1
0,0,109,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,15,0,1
0,0,21,0,0
14,5,118,0,0
14,2,118,0,0
14,16,118,2,0
14,5,120,0,0
14,3,120,0,0
14,2,120,0,0
14,16,10,0,0
14,2,120,0,0
11,5,10,0,0
11,2,120,0,0
11,5,120,0,1
11,5,10,0,0
11,2,118,0,0
11,2,111,0,0
11,2,10,0,0
25,16,0,0,1
25,8,0,0,1
10,0,21,0,0
0,3,120,0,1
0,2,120,0,1
5,0,4,0,1
5,0,4,0,1
7,0,10,0,0
7,0,10,0,0
7,0,10,0,0
4,0,10,0,0
4,0,10,0,0
3,0,120,0,0
3,0,10,0,0
3,0,10,0,0
2,0,118,0,0
2,0,118,0,0
2,0,118,0,1
11,2,118,0,0
11,8,118,0,0
11,3,120,0,0
11,5,120,0,0
11,2,118,0,0
11,3,120,0,1
11,0,10,0,0
11,0,98,0,0
29,0,98,1,1
51,8,118,6,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
9,0,10,0,0
9,0,10,0,0
22,5,120,0,0
8,0,10,0,0
8,0,10,0,0
14,5,120,0,0
14,0,120,4,1
28,8,120,4,1
25,16,0,0,1
25,8,0,0,1
1,0,98,0,0
32,16,118,4,0
18,5,120,0,1
3,0,10,0,0
3,8,10,3,1
3,0,10,0,0
3,0,98,0,0
0,0,10,0,0
14,2,10,0,0
14,2,10,0,0
14,2,10,0,0
14,2,10,0,0
14,2,10,0,0
14,2,10,0,0
11,16,120,4,1
11,16,118,3,1
10,0,10,0,0
10,0,10,0,0
10,0,120,0,1
10,0,120,0,1
9,0,10,0,0
9,0,10,0,0
8,0,10,0,0
8,0,10,0,0
4,0,124,0,1
102,0,0,0,1
4,8,124,8,1
25,16,124,1,0
4,0,124,6,1
4,0,124,0,1
3,0,0,0,1
3,0,10,0,0
3,0,120,0,1
14,16,118,6,1
14,5,120,0,0
7,16,124,0,1
21,16,124,0,0
25,16,0,0,1
25,8,0,0,1
11,5,10,0,1
11,5,10,0,1
66,8,15,0,1
9,0,120,0,0
4,0,120,0,1
11,3,124,5,0
11,2,124,0,0
5,0,4,0,0
5,0,4,0,1
8,0,124,0,0
8,0,124,0,0
8,0,124,0,0
17,5,10,0,0
2,0,109,0,1
2,0,109,0,1
16,2,109,0,0
16,2,109,0,0
16,3,10,0,0
11,8,0,0,1
11,3,10,0,0
11,3,109,0,0
11,8,10,0,0
11,16,109,0,1
11,0,108,0,0
2,16,117,2,1
7,0,109,0,0
4,0,109,0,0
4,0,109,0,0
4,0,109,0,0
18,5,109,0,1
3,0,0,0,0
15,16,0,0,1
15,2,10,0,1
29,2,109,0,1
15,3,109,0,1
14,2,109,0,1
14,2,109,0,1
42,8,10,0,0
14,3,108,0,1
14,2,108,0,1
11,5,0,0,1
11,2,108,0,0
11,2,10,0,0
4,16,108,0,1
4,3,10,0,1
4,16,108,0,1
3,0,10,0,0
2,16,10,0,1
16,8,0,0,1
16,8,0,0,1
11,2,10,0,1
11,5,10,0,1
11,16,108,0,1
11,3,109,0,1
11,24,108,0,1
11,5,10,0,1
11,8,10,0,1
11,8,10,0,1
23,8,0,0,1
23,3,109,0,0
23,0,109,0,0
9,0,109,0,1
23,2,109,0,0
9,0,108,0,1
23,5,109,0,0
22,5,10,0,0
50,8,108,0,1
50,8,108,0,1
36,5,108,0,1
22,2,109,0,0
22,3,108,0,0
36,5,10,0,1
4,0,10,0,1
4,0,108,0,1
59,3,10,0,0
2,0,108,0,1
16,5,10,0,0
58,16,120,0,1
1,0,10,0,0
11,2,10,0,0
11,2,109,0,0
11,3,109,0,0
11,2,109,0,0
11,2,109,0,0
11,2,108,0,0
10,0,98,0,1
10,16,109,0,0
9,0,118,0,1
11,24,10,0,1
4,0,120,0,0
17,8,0,0,1
3,0,10,0,0
17,2,120,0,1
17,5,120,0,1
17,2,120,0,1
31,8,10,0,1
17,2,120,0,1
16,2,120,0,1
0,0,10,0,0
14,2,120,0,1
14,2,0,0,0
14,2,120,0,1
28,2,120,0,1
14,2,120,0,1
11,16,10,4,1
11,5,120,0,1
11,0,10,0,0
67,4,21,0,0
17,16,0,0,0
17,16,0,0,0
135,0,111,0,0
1,0,10,0,1
1,0,10,0,1
15,2,120,0,0
1,0,10,0,1
39,8,108,0,1
25,5,108,0,1
11,8,10,2,1
25,8,108,0,1
11,8,120,0,1
11,0,120,0,0
10,0,10,0,0
10,0,120,0,0
10,0,108,0,0
10,0,120,0,0
10,0,120,0,0
10,0,120,0,0
10,0,108,0,0
10,0,108,0,0
4,0,108,0,0
4,0,108,0,0
4,0,120,0,0
4,0,108,0,0
4,0,108,0,0
3,0,120,0,0
3,0,108,0,0
3,0,120,0,1
3,0,118,0,0
2,0,120,0,1
1,0,98,0,1
11,2,10,0,0
11,16,10,0,0
25,16,0,0,1
25,8,0,0,1
11,8,120,0,1
11,8,120,0,1
10,0,10,0,0
9,0,120,0,1
8,0,120,0,0
35,8,15,0,1
0,0,124,0,0
0,0,124,0,0
0,0,124,0,0
32,8,15,0,1
4,0,10,0,1
4,0,10,0,1
2,0,4,0,0
4,0,10,0,0
4,0,10,0,1
4,0,10,0,1
4,0,10,0,1
4,0,10,0,1
17,3,10,0,0
17,5,10,0,0
3,0,10,0,1
3,0,10,0,1
2,0,10,0,1
2,0,124,0,0
2,0,124,0,0
2,0,124,0,0
5,0,4,0,1
11,2,120,0,1
11,2,10,0,0
11,2,10,0,0
11,2,10,0,0
11,3,10,0,0
11,2,120,0,0
11,2,10,0,0
11,2,118,0,0
10,0,10,0,0
10,0,10,0,0
8,0,10,0,0
8,0,10,0,0
22,24,10,0,1
7,0,15,0,1
4,0,10,0,0
4,0,98,0,1
3,0,98,0,1
30,0,98,0,0
3,5,120,0,1
3,5,120,0,1
3,5,120,0,1
3,0,10,0,0
2,0,4,0,1
2,8,120,6,1
1,0,15,4,1
29,16,0,0,1
29,8,0,0,0
15,0,17,0,1
11,5,10,0,1
11,3,15,3,1
11,2,118,2,1
25,8,15,0,1
11,2,10,0,1
11,2,10,0,1
11,0,0,0,1
53,0,0,0,1
11,8,15,0,1
11,8,118,10,1
11,2,120,0,1
11,8,120,0,1
11,16,118,13,1
1,0,125,0,0
9,0,10,0,0
5,0,125,0,0
8,0,120,0,0
8,0,118,0,0
8,0,118,0,0
4,0,120,0,1
16,3,118,4,0
28,16,0,0,1
28,8,0,0,1
11,0,17,0,0
11,5,120,1,1
11,3,118,2,1
11,8,118,8,1
11,2,120,0,0
11,5,15,0,1
9,5,15,0,1
2,0,4,0,1
7,8,15,0,1
7,16,118,14,1
7,3,120,0,1
7,16,15,0,1
3,0,10,0,0
2,0,120,0,1
15,3,118,5,1
0,0,120,0,1
0,0,10,0,1
0,0,10,0,1
0,0,120,0,1
5,0,4,0,0
5,0,4,0,1
25,16,0,0,1
25,8,0,0,1
11,3,15,0,0
11,3,15,0,1
11,3,15,0,0
11,0,17,0,1
11,5,120,0,1
11,8,120,0,1
11,5,15,0,1
11,5,15,0,1
11,8,15,0,1
11,8,120,0,1
11,8,10,0,1
11,3,10,2,1
81,2,10,0,1
11,3,10,0,1
0,0,10,0,0
1,0,98,0,0
13,0,112,0,1
14,0,83,0,0
15,0,10,0,0
8,8,118,5,1
2,0,120,0,0
2,0,10,0,0
-271,0,120,0,1
1,0,10,0,1
15,2,10,0,1
0,0,10,0,0
11,3,10,0,0
11,0,10,0,0
11,0,120,0,0
11,0,118,0,0
11,2,120,0,0
11,3,10,0,1
11,3,0,0,0
8,0,10,2,1
8,0,10,0,1
7,0,120,0,1
18,8,118,1,1
2,0,108,0,1
1,0,120,0,1
15,3,120,0,1
15,5,10,0,1
11,24,120,0,1
11,0,10,0,0
11,0,108,0,0
11,0,120,0,0
11,3,10,0,0
11,3,10,0,1
11,0,118,7,1
11,2,10,0,0
52,0,0,0,1
52,0,0,0,1
8,0,83,0,1
9,0,10,0,0
9,0,10,0,0
9,0,10,0,0
9,0,10,0,0
7,0,10,0,0
4,0,108,0,1
4,0,108,0,1
4,0,21,0,0
18,5,10,0,1
17,3,21,0,0
15,3,21,0,0
11,24,118,6,1
11,3,10,0,0
11,16,108,0,1
